FlightDate,Airline,Origin,Dest,Cancelled,Diverted,CRSDepTime,DepTime,DepDelayMinutes,DepDelay,ArrTime,ArrDelayMinutes,AirTime,CRSElapsedTime,ActualElapsedTime,Distance,Year,Quarter,Month,DayofMonth,DayOfWeek,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,DestCityName,DestState,DestStateFips,DestStateName,DestWac,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,DistanceGroup,DivAirportLandings
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,CPR,False,False,1540,1546.0,6.0,6.0,1650.0,0.0,45.0,70.0,64.0,230.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4288,C5,20445,C5,N14177,4288,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11122,1112205,31122,"Casper, WY",WY,56,Wyoming,88,0.0,0.0,1500-1559,13.0,1559.0,1644.0,6.0,1650,0.0,0.0,0.0,1600-1659,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",MOB,IAH,False,False,705,704.0,0.0,-1.0,858.0,6.0,84.0,107.0,114.0,427.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4287,C5,20445,C5,N11184,4287,13422,1342202,30562,"Mobile, AL",AL,1,Alabama,51,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,0700-0759,18.0,722.0,846.0,12.0,852,6.0,0.0,0.0,0800-0859,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",LNK,DEN,False,False,1403,1358.0,0.0,-5.0,1425.0,0.0,69.0,100.0,87.0,423.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4286,C5,20445,C5,N14177,4286,13029,1302902,33029,"Lincoln, NE",NE,31,Nebraska,65,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,0.0,-1.0,1400-1459,11.0,1409.0,1418.0,7.0,1443,-18.0,0.0,-2.0,1400-1459,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,OKC,False,False,1014,1008.0,0.0,-6.0,1148.0,0.0,59.0,95.0,100.0,395.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4281,C5,20445,C5,N11193,4281,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,13851,1385103,33851,"Oklahoma City, OK",OK,40,Oklahoma,73,0.0,-1.0,1000-1059,33.0,1041.0,1140.0,8.0,1149,-1.0,0.0,-1.0,1100-1159,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",BHM,IAH,False,False,1258,1255.0,0.0,-3.0,1505.0,0.0,103.0,131.0,130.0,562.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4280,C5,20445,C5,N12160,4280,10599,1059904,30599,"Birmingham, AL",AL,1,Alabama,51,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,0.0,-1.0,1200-1259,17.0,1312.0,1455.0,10.0,1509,-4.0,0.0,-1.0,1500-1559,3,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,GJT,False,False,941,937.0,0.0,-4.0,1031.0,0.0,39.0,68.0,54.0,212.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4273,C5,20445,C5,N21144,4273,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11921,1192102,31921,"Grand Junction, CO",CO,8,Colorado,82,0.0,-1.0,0900-0959,12.0,949.0,1028.0,3.0,1049,-18.0,0.0,-2.0,1000-1059,1,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,DRO,False,False,1330,1322.0,0.0,-8.0,1427.0,0.0,45.0,74.0,65.0,251.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4271,C5,20445,C5,N21144,4271,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11413,1141307,30285,"Durango, CO",CO,8,Colorado,82,0.0,-1.0,1300-1359,18.0,1340.0,1425.0,2.0,1444,-17.0,0.0,-2.0,1400-1459,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,SAF,False,False,1122,1112.0,0.0,-10.0,1213.0,0.0,45.0,79.0,61.0,303.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4270,C5,20445,C5,N14158,4270,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,14674,1467402,34674,"Santa Fe, NM",NM,35,New Mexico,86,0.0,-1.0,1100-1159,12.0,1124.0,1209.0,4.0,1241,-28.0,0.0,-2.0,1200-1259,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,SHV,False,False,1731,1800.0,29.0,29.0,2141.0,45.0,119.0,145.0,161.0,792.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4268,C5,20445,C5,N21144,4268,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,14814,1481402,30476,"Shreveport, LA",LA,22,Louisiana,72,1.0,1.0,1700-1759,19.0,1819.0,2118.0,23.0,2056,45.0,1.0,3.0,2000-2059,4,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,MOB,False,False,1940,1954.0,14.0,14.0,2105.0,0.0,54.0,86.0,71.0,427.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4267,C5,20445,C5,N14173,4267,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,13422,1342202,30562,"Mobile, AL",AL,1,Alabama,51,0.0,0.0,1900-1959,14.0,2008.0,2102.0,3.0,2106,-1.0,0.0,-1.0,2100-2159,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,MFE,False,False,1810,1810.0,0.0,0.0,1930.0,0.0,56.0,82.0,80.0,316.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4266,C5,20445,C5,N11150,4266,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,13256,1325602,33256,"Mission/McAllen/Edinburg, TX",TX,48,Texas,74,0.0,0.0,1800-1859,20.0,1830.0,1926.0,4.0,1932,-2.0,0.0,-1.0,1900-1959,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,DRO,False,False,940,955.0,15.0,15.0,1107.0,12.0,43.0,75.0,72.0,251.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4265,C5,20445,C5,N17146,4265,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11413,1141307,30285,"Durango, CO",CO,8,Colorado,82,1.0,1.0,0900-0959,22.0,1017.0,1100.0,7.0,1055,12.0,0.0,0.0,1000-1059,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",DEN,DIK,False,False,2028,2027.0,0.0,-1.0,2210.0,5.0,78.0,97.0,103.0,488.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4263,C5,20445,C5,N14158,4263,11292,1129202,30325,"Denver, CO",CO,8,Colorado,82,11315,1131502,31315,"Dickinson, ND",ND,38,North Dakota,66,0.0,-1.0,2000-2059,18.0,2045.0,2203.0,7.0,2205,5.0,0.0,0.0,2200-2259,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,HRL,False,False,1830,1829.0,0.0,-1.0,1940.0,0.0,51.0,76.0,71.0,295.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4261,C5,20445,C5,N12163,4261,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,12206,1220605,32206,"Harlingen/San Benito, TX",TX,48,Texas,74,0.0,-1.0,1800-1859,17.0,1846.0,1937.0,3.0,1946,-6.0,0.0,-1.0,1900-1959,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAH,BTR,False,False,1222,1219.0,0.0,-3.0,1320.0,0.0,40.0,69.0,61.0,253.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4260,C5,20445,C5,N11176,4260,12266,1226603,31453,"Houston, TX",TX,48,Texas,74,10781,1078105,30781,"Baton Rouge, LA",LA,22,Louisiana,72,0.0,-1.0,1200-1259,17.0,1236.0,1316.0,4.0,1331,-11.0,0.0,-1.0,1300-1359,2,0
2022-04-04,"Commutair Aka Champlain Enterprises, Inc.",IAD,HSV,False,False,855,854.0,0.0,-1.0,1015.0,15.0,93.0,125.0,141.0,596.0,2022,2,4,4,1,UA,UA_CODESHARE,19977,UA,4259,C5,20445,C5,N12167,4259,12264,1226402,30852,"Washington, DC",VA,51,Virginia,38,12217,1221702,30255,"Huntsville, AL",AL,1,Alabama,51,0.0,-1.0,0800-0859,38.0,932.0,1005.0,10.0,1000,15.0,1.0,1.0,1000-1059,3,0
